id,bio_codex,bio_name,bio_cost,bio_find
1,$Codex_Ent_Aleoids_01_Name;,Aleoida Arcus,7252500,0
2,$Codex_Ent_Aleoids_02_Name;,Aleoida Coronamus,6284600,0
3,$Codex_Ent_Aleoids_03_Name;,Aleoida Spica,3385200,0
4,$Codex_Ent_Aleoids_04_Name;,Aleoida Laminiae,3385200,0
5,$Codex_Ent_Aleoids_05_Name;,Aleoida Gravis,12934900,0
6,$Codex_Ent_Sphere_Name;,Luteolum Anemone,1499900,0
7,$Codex_Ent_SphereABCD_01_Name;,Croceum Anemone,1499900,0
8,$Codex_Ent_SphereABCD_02_Name;,Puniceum Anemone,1499900,0
9,$Codex_Ent_SphereABCD_03_Name;,Roseum Anemone,1499900,0
10,$Codex_Ent_SphereEFGH_01_Name;,Rubeum Bioluminescent Anemone,1499900,0
11,$Codex_Ent_SphereEFGH_02_Name;,Prasinum Bioluminescent Anemone,1499900,0
12,$Codex_Ent_SphereEFGH_03_Name;,Roseum Bioluminescent Anemone,1499900,0
13,$Codex_Ent_SphereEFGH_Name;,Blatteum Bioluminescent Anemone,1499900,0
14,$Codex_Ent_Bacterial_01_Name;,Bacterium Aurasus,1000000,0
15,$Codex_Ent_Bacterial_02_Name;,Bacterium Nebulus,5289900,0
16,$Codex_Ent_Bacterial_03_Name;,Bacterium Scopulum,4934500,0
17,$Codex_Ent_Bacterial_04_Name;,Bacterium Acies,1000000,0
18,$Codex_Ent_Bacterial_05_Name;,Bacterium Vesicula,1000000,0
19,$Codex_Ent_Bacterial_06_Name;,Bacterium Alcyoneum,1658500,0
20,$Codex_Ent_Bacterial_07_Name;,Bacterium Tela,1949000,0
21,$Codex_Ent_Bacterial_08_Name;,Bacterium Informem,8418000,0
22,$Codex_Ent_Bacterial_09_Name;,Bacterium Volu,7774700,0
23,$Codex_Ent_Bacterial_10_Name;,Bacterium Bullaris,1152500,0
24,$Codex_Ent_Bacterial_11_Name;,Bacterium Omentum,4638900,0
25,$Codex_Ent_Bacterial_12_Name;,Bacterium Cerbrus,1689800,0
26,$Codex_Ent_Bacterial_13_Name;,Bacterium Verrata,3897000,0
27,$Codex_Ent_Seed_Name;,Roseum Brain Tree,1593700,0
28,$Codex_Ent_SeedABCD_01_Name;,Gypseeum Brain Tree,1593700,0
29,$Codex_Ent_SeedABCD_02_Name;,Ostrinum Brain Tree,1593700,0
30,$Codex_Ent_SeedABCD_03_Name;,Viride Brain Tree,1593700,0
31,$Codex_Ent_SeedEFGH_01_Name;,Aureum Brain Tree,1593700,0
32,$Codex_Ent_SeedEFGH_02_Name;,Puniceum Brain Tree,1593700,0
33,$Codex_Ent_SeedEFGH_03_Name;,Lindigoticum Brain Tree,1593700,0
34,$Codex_Ent_SeedEFGH_Name;,Lividum Brain Tree,1593700,0
35,$Codex_Ent_Cactoid_01_Name;,Cactoida Cortexum,3667600,0
